type,key,revision,last_modified,JSON
/type/author,/authors/OL10004589A,1,27/12/2021 07:19,"{""type"": {""key"": ""/type/author""}, ""name"": ""Christophe Bottigheimer"", ""key"": ""/authors/OL10004589A"", ""source_records"": [""bwb:9780824599263""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T07:19:46.735932""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T07:19:46.735932""}}"
/type/author,/authors/OL10005266A,1,27/12/2021 08:45,"{""type"": {""key"": ""/type/author""}, ""name"": ""Norbert Neuss"", ""key"": ""/authors/OL10005266A"", ""source_records"": [""bwb:9783170327238""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T08:45:44.344181""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T08:45:44.344181""}}"
/type/author,/authors/OL10005640A,1,27/12/2021 09:22,"{""type"": {""key"": ""/type/author""}, ""name"": ""Insa Stephanie Jarass"", ""key"": ""/authors/OL10005640A"", ""source_records"": [""bwb:9783161561313""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T09:22:34.113506""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T09:22:34.113506""}}"
/type/author,/authors/OL10005719A,1,27/12/2021 09:27,"{""type"": {""key"": ""/type/author""}, ""name"": ""Cesar Alcalde Blanco"", ""key"": ""/authors/OL10005719A"", ""source_records"": [""bwb:9781091636545""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T09:27:23.909621""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T09:27:23.909621""}}"
/type/author,/authors/OL10006543A,1,27/12/2021 10:35,"{""type"": {""key"": ""/type/author""}, ""name"": ""Jesus SUBERO"", ""key"": ""/authors/OL10006543A"", ""source_records"": [""bwb:9781676452492""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T10:35:56.403237""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T10:35:56.403237""}}"
/type/author,/authors/OL10006645A,1,27/12/2021 10:45,"{""type"": {""key"": ""/type/author""}, ""name"": ""Susanne Kopfli"", ""key"": ""/authors/OL10006645A"", ""source_records"": [""bwb:9783170346574""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T10:45:15.716082""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T10:45:15.716082""}}"
/type/author,/authors/OL10007429A,1,27/12/2021 12:00,"{""type"": {""key"": ""/type/author""}, ""name"": ""S. C. Thust"", ""key"": ""/authors/OL10007429A"", ""source_records"": [""bwb:9781912776719""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T12:00:08.380216""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T12:00:08.380216""}}"
/type/author,/authors/OL10007810A,1,27/12/2021 12:35,"{""type"": {""key"": ""/type/author""}, ""name"": ""Constanze Graml"", ""key"": ""/authors/OL10007810A"", ""source_records"": [""bwb:9783447112864""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T12:35:33.834769""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T12:35:33.834769""}}"
/type/author,/authors/OL10008061A,1,27/12/2021 13:02,"{""type"": {""key"": ""/type/author""}, ""name"": ""Jamalyn Jaquess"", ""key"": ""/authors/OL10008061A"", ""source_records"": [""bwb:9780738612645""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T13:02:52.735656""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T13:02:52.735656""}}"
/type/author,/authors/OL10008322A,1,27/12/2021 13:36,"{""type"": {""key"": ""/type/author""}, ""name"": ""William C. Dix"", ""key"": ""/authors/OL10008322A"", ""source_records"": [""bwb:9780758660848""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T13:36:23.613431""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T13:36:23.613431""}}"
/type/author,/authors/OL10008673A,1,27/12/2021 14:12,"{""type"": {""key"": ""/type/author""}, ""name"": ""Janice Huszar"", ""key"": ""/authors/OL10008673A"", ""source_records"": [""bwb:9781400327102""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T14:12:28.933272""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T14:12:28.933272""}}"
/type/author,/authors/OL10009051A,1,27/12/2021 14:56,"{""type"": {""key"": ""/type/author""}, ""name"": ""Mary Pozzi"", ""key"": ""/authors/OL10009051A"", ""source_records"": [""bwb:9781467104630""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T14:56:41.135338""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T14:56:41.135338""}}"
/type/author,/authors/OL10009220A,1,27/12/2021 15:08,"{""type"": {""key"": ""/type/author""}, ""name"": ""Gabriel Di Bella"", ""key"": ""/authors/OL10009220A"", ""source_records"": [""bwb:9781513549989""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:08:17.892824""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:08:17.892824""}}"
/type/author,/authors/OL10009346A,1,27/12/2021 15:14,"{""type"": {""key"": ""/type/author""}, ""name"": ""Rv-1961"", ""key"": ""/authors/OL10009346A"", ""source_records"": [""bwb:9780789925107""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:14:22.573899""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:14:22.573899""}}"
/type/author,/authors/OL10009960A,1,27/12/2021 15:41,"{""type"": {""key"": ""/type/author""}, ""name"": ""Grammateia Kotsialou"", ""key"": ""/authors/OL10009960A"", ""source_records"": [""bwb:9781680838701""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:41:01.204089""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:41:01.204089""}}"
/type/author,/authors/OL10010111A,1,27/12/2021 15:45,"{""type"": {""key"": ""/type/author""}, ""name"": ""Martin von der Ohe"", ""key"": ""/authors/OL10010111A"", ""source_records"": [""bwb:9783848779000""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:45:50.600128""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T15:45:50.600128""}}"
/type/author,/authors/OL10010601A,1,27/12/2021 16:10,"{""type"": {""key"": ""/type/author""}, ""name"": ""Lee A. Chen"", ""key"": ""/authors/OL10010601A"", ""source_records"": [""amazon:1794375473""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:10:09.392874""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:10:09.392874""}}"
/type/author,/authors/OL10010834A,1,27/12/2021 16:22,"{""type"": {""key"": ""/type/author""}, ""name"": ""Kara Finch"", ""key"": ""/authors/OL10010834A"", ""source_records"": [""bwb:9798515957902""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:22:50.858366""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:22:50.858366""}}"
/type/author,/authors/OL10011191A,1,27/12/2021 16:40,"{""type"": {""key"": ""/type/author""}, ""name"": ""Hamed Barjesteh"", ""key"": ""/authors/OL10011191A"", ""source_records"": [""bwb:9781774078044""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:40:29.109878""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:40:29.109878""}}"
/type/author,/authors/OL10011432A,1,27/12/2021 16:53,"{""type"": {""key"": ""/type/author""}, ""name"": ""David Moratto"", ""key"": ""/authors/OL10011432A"", ""source_records"": [""bwb:9780578582825""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:53:52.487127""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:53:52.487127""}}"
/type/author,/authors/OL10011526A,1,27/12/2021 16:59,"{""type"": {""key"": ""/type/author""}, ""name"": ""Caitlin Howley"", ""key"": ""/authors/OL10011526A"", ""source_records"": [""bwb:9781648024689""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:59:33.864101""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T16:59:33.864101""}}"
/type/author,/authors/OL10011594A,1,27/12/2021 17:02,"{""type"": {""key"": ""/type/author""}, ""name"": ""Christina Mundlos"", ""key"": ""/authors/OL10011594A"", ""source_records"": [""bwb:9783828829688""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:02:51.521775""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:02:51.521775""}}"
/type/author,/authors/OL10011830A,1,27/12/2021 17:12,"{""type"": {""key"": ""/type/author""}, ""name"": ""Michael Lance Trope"", ""key"": ""/authors/OL10011830A"", ""source_records"": [""bwb:9780806190297""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:12:45.698359""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:12:45.698359""}}"
/type/author,/authors/OL10011890A,1,27/12/2021 17:16,"{""type"": {""key"": ""/type/author""}, ""name"": ""Herbie Raad"", ""key"": ""/authors/OL10011890A"", ""source_records"": [""bwb:9781951600334""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:16:02.743691""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:16:02.743691""}}"
/type/author,/authors/OL10012012A,1,27/12/2021 17:26,"{""type"": {""key"": ""/type/author""}, ""name"": ""Garrett J. DeWeese"", ""key"": ""/authors/OL10012012A"", ""source_records"": [""bwb:9780830839148""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:26:04.826572""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:26:04.826572""}}"
/type/author,/authors/OL10012699A,1,27/12/2021 17:59,"{""type"": {""key"": ""/type/author""}, ""name"": ""Katya Kazbek"", ""key"": ""/authors/OL10012699A"", ""source_records"": [""bwb:9781953534026""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:59:23.451121""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T17:59:23.451121""}}"
/type/author,/authors/OL10012737A,1,27/12/2021 18:03,"{""type"": {""key"": ""/type/author""}, ""name"": ""Rachael George"", ""key"": ""/authors/OL10012737A"", ""source_records"": [""bwb:9781951600471""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:03:50.198438""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:03:50.198438""}}"
/type/author,/authors/OL10013127A,1,27/12/2021 18:33,"{""type"": {""key"": ""/type/author""}, ""name"": ""Dana Compton McCullough"", ""key"": ""/authors/OL10013127A"", ""source_records"": [""bwb:9781648024894""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:33:05.370285""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:33:05.370285""}}"
/type/author,/authors/OL10013185A,1,27/12/2021 18:36,"{""type"": {""key"": ""/type/author""}, ""name"": ""R. L. Dailey"", ""key"": ""/authors/OL10013185A"", ""source_records"": [""bwb:9798517638878""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:36:12.804817""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T18:36:12.804817""}}"
/type/author,/authors/OL10013595A,1,27/12/2021 19:01,"{""type"": {""key"": ""/type/author""}, ""name"": ""Oliver Pilcher"", ""key"": ""/authors/OL10013595A"", ""source_records"": [""bwb:9781614289333""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:01:28.472924""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:01:28.472924""}}"
/type/author,/authors/OL10013703A,1,27/12/2021 19:08,"{""type"": {""key"": ""/type/author""}, ""name"": ""Funny Akeke Edition"", ""key"": ""/authors/OL10013703A"", ""source_records"": [""bwb:9798692971265""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:08:02.870911""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:08:02.870911""}}"
/type/author,/authors/OL10014109A,1,27/12/2021 19:28,"{""type"": {""key"": ""/type/author""}, ""name"": ""Yaotian Chai"", ""key"": ""/authors/OL10014109A"", ""source_records"": [""bwb:9783848783489""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:27:59.546841""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:27:59.546841""}}"
/type/author,/authors/OL10014139A,1,27/12/2021 19:29,"{""type"": {""key"": ""/type/author""}, ""name"": ""nursing notebooks nursing notebooks for nurses"", ""key"": ""/authors/OL10014139A"", ""source_records"": [""bwb:9798645853945""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:29:48.105550""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:29:48.105550""}}"
/type/author,/authors/OL10014491A,1,27/12/2021 19:56,"{""type"": {""key"": ""/type/author""}, ""name"": ""Shanan Taylor Ballam"", ""key"": ""/authors/OL10014491A"", ""source_records"": [""bwb:9780942544817""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:56:25.636917""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T19:56:25.636917""}}"
/type/author,/authors/OL10015002A,1,27/12/2021 20:33,"{""type"": {""key"": ""/type/author""}, ""name"": ""Asia Suler"", ""key"": ""/authors/OL10015002A"", ""source_records"": [""bwb:9781623176921""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:33:09.962500""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:33:09.962500""}}"
/type/author,/authors/OL10015030A,1,27/12/2021 20:36,"{""type"": {""key"": ""/type/author""}, ""name"": ""Janet Kellogg Ray"", ""key"": ""/authors/OL10015030A"", ""source_records"": [""bwb:9780802879448""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:36:16.678344""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:36:16.678344""}}"
/type/author,/authors/OL10015081A,1,27/12/2021 20:40,"{""type"": {""key"": ""/type/author""}, ""name"": ""Lauri Albert"", ""key"": ""/authors/OL10015081A"", ""source_records"": [""bwb:9781638073727""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:40:23.324126""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:40:23.324126""}}"
/type/author,/authors/OL10015371A,1,27/12/2021 20:58,"{""type"": {""key"": ""/type/author""}, ""name"": ""Frederick Barnes Muehlhausen"", ""key"": ""/authors/OL10015371A"", ""source_records"": [""bwb:9781612497655""], ""latest_revision"": 1, ""revision"": 1, ""created"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:58:47.065983""}, ""last_modified"": {""type"": ""/type/datetime"", ""value"": ""2021-12-27T20:58:47.065983""}}"
